order_item_id,accm_txn_complete_time
84,2026-03-25 19:48:24.390
93,2026-03-24 04:48:24.390
94,2026-03-24 08:48:24.390
96,2026-03-24 04:48:24.390
95,2026-03-25 14:48:24.390
100,2026-03-24 13:48:24.390
107,2026-03-25 10:48:24.390
114,2026-03-24 23:48:24.390
118,2026-03-25 22:48:24.390
129,2026-03-25 14:48:24.390
137,2026-03-24 23:48:24.390
138,2026-03-25 03:48:24.390
142,2026-03-24 07:48:24.390
147,2026-03-24 20:48:24.390
149,2026-03-25 06:48:24.390
157,2026-03-25 14:48:24.390
162,2026-03-25 23:48:24.390
164,2026-03-24 19:48:24.390
585,2026-03-25 01:48:24.390
587,2026-03-24 06:48:24.390
588,2026-03-25 16:48:24.390
599,2026-03-25 14:48:24.390
614,2026-03-25 17:48:24.390
616,2026-03-25 22:48:24.390
621,2026-03-25 23:48:24.390
625,2026-03-24 13:48:24.390
626,2026-03-24 08:48:24.390
638,2026-03-24 22:48:24.390
639,2026-03-25 20:48:24.390
640,2026-03-25 17:48:24.390
655,2026-03-24 13:48:24.390
656,2026-03-25 09:48:24.390
664,2026-03-25 02:48:24.390
669,2026-03-25 18:48:24.390
678,2026-03-25 14:48:24.390
686,2026-03-24 04:48:24.390
687,2026-03-24 23:48:24.390
698,2026-03-24 22:48:24.390
1469,2026-03-25 22:48:24.390
1475,2026-03-24 06:48:24.390
1482,2026-03-24 11:48:24.390
1483,2026-03-25 17:48:24.390
1487,2026-03-24 22:48:24.390
1488,2026-03-25 17:48:24.390
1492,2026-03-24 16:48:24.390
1493,2026-03-24 16:48:24.390
1501,2026-03-25 15:48:24.390
1511,2026-03-25 05:48:24.390
1512,2026-03-25 05:48:24.390
1518,2026-03-25 00:48:24.390
1528,2026-03-25 14:48:24.390
1531,2026-03-25 08:48:24.390
1533,2026-03-24 18:48:24.390
1543,2026-03-25 17:48:24.390
1550,2026-03-24 16:48:24.390
1553,2026-03-25 18:48:24.390
1559,2026-03-25 12:48:24.390
1561,2026-03-25 22:48:24.390
1563,2026-03-24 09:48:24.390
1564,2026-03-26 00:48:24.390
1575,2026-03-24 23:48:24.390
1589,2026-03-24 17:48:24.390
258,2026-03-25 07:48:24.390
261,2026-03-24 14:48:24.390
273,2026-03-24 07:48:24.390
274,2026-03-25 13:48:24.390
275,2026-03-25 12:48:24.390
278,2026-03-24 03:48:24.390
279,2026-03-24 21:48:24.390
281,2026-03-25 11:48:24.390
282,2026-03-26 01:48:24.390
287,2026-03-25 16:48:24.390
293,2026-03-24 23:48:24.390
302,2026-03-25 06:48:24.390
303,2026-03-25 10:48:24.390
306,2026-03-25 06:48:24.390
307,2026-03-24 07:48:24.390
310,2026-03-24 02:48:24.390
320,2026-03-24 03:48:24.390
323,2026-03-25 02:48:24.390
328,2026-03-25 09:48:24.390
331,2026-03-25 04:48:24.390
333,2026-03-25 08:48:24.390
335,2026-03-24 09:48:24.390
336,2026-03-24 09:48:24.390
337,2026-03-24 06:48:24.390
341,2026-03-25 13:48:24.390
348,2026-03-25 03:48:24.390
939,2026-03-24 23:48:24.390
949,2026-03-24 02:48:24.390
953,2026-03-24 03:48:24.390
959,2026-03-25 19:48:24.390
971,2026-03-25 07:48:24.390
975,2026-03-25 17:48:24.390
980,2026-03-25 06:48:24.390
984,2026-03-26 01:48:24.390
992,2026-03-25 13:48:24.390
1003,2026-03-25 07:48:24.390
1014,2026-03-25 07:48:24.390
1022,2026-03-24 16:48:24.390
